ACC_NUCCORE	query	distance	pvalue	shared_hashes	recid	Topology_NUCCORE	CreateDate_NUCCORE	Location_BIOSAMPLE	loc_parsed	loc_lat	loc_lng	IsolationSource_BIOSAMPLE	Host_BIOSAMPLE	SamplType_BIOSAMPLE	plasmidfinder	pmlst	Length_NUCCORE	GC_NUCCORE	taxon_name	taxon_species_name	taxon_genus_name	taxon_family_name	taxon_order_name	taxon_class_name	taxon_phylum_name	taxon_superkingdom_name	D1	D2
CP054331.1	edge_1499	0.00268639	0	896	18	circular	2020-06-10	USA: California	USA,California	36.7014631	-118.75599740000001	rectal swab from healthy college student	Homo sapiens	whole organism	ColRNAI_1, DQ298019		5635	47.15173025732032	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6819465	-7.9494348
NZ_CP044046.1	edge_3365	0.00268639	0	896	19	circular	2019-09-27	USA: MI	USA,MI	43.6211955	-84.6824346	clinical isolate	Homo sapiens		IncFIB(pKPHS1)_1, CP003223	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	109938	48.867543524532	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	9.050877999999999	2.0229901999999997
NZ_CP008717.1	edge_2901	0.00279888	0	892	20	circular	2016-01-27	China:Beijing		39.93	116.35	Pleural Effusion	Homo sapiens		Col(MG828)_1, NC_008486		4237	40.75997167807411	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	7.6377583	-2.2197883
NZ_CP042891.1	edge_3488	0.00334352	0	873	21	circular	2020-06-07	Norway:Aas		59.667	10.769	surface water					3638	52.253985706432104	Escherichia coli O10:H32	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	9.934683	-3.5336246
KU932034.1	edge_1498	0.0034603999999999998	0	869	22	circular	2016-05-09								ColRNAI_1, DQ298019		7939	41.6299282025444	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2393107000000003	0.67789865
NZ_CP048365.1	edge_3488	0.0034603999999999998	0	869	23	circular	2020-02-20	Switzerland	Switzerland	46.7985624	8.231973599999998	environment		cell culture			3638	52.253985706432104	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	9.927679	-3.542071
NZ_CP045283.1	edge_1498	0.00375609	0	859	24	circular	2019-10-28	Lebanon	Lebanon	33.8750629	35.843409		Homo sapiens	Whole organism	ColRNAI_1, DQ298019		7940	41.624685138539036	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2539162999999998	0.715201
NZ_CP041106.1	edge_4344	0.00448671	0	835	25	circular	2019-06-19	Thailand: Nakhon Pathom		13.8199	100.0622		Swine		Col(pHAD28)_1, KU674895		5733	44.81074481074481	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.6604512000000002	-0.15027495
NZ_CP031882.1	edge_4344	0.00470559	0	828	26	circular	2018-08-28	China: Sichuan		30.6415507863375	104.060539888855	sputum	Homo sapiens		Col(pHAD28)_1, KU674895		5733	44.77585906157335	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.7365296000000003	-0.1668643
NZ_CP028785.2	edge_4344	0.00470559	0	828	27	circular	2018-04-05	China: Leshan, Sichuan	China,Leshan,Sichuan	29.5644022	103.7620393	pus	Homo sapiens	Culture	Col(pHAD28)_1, KU674895		5733	44.77585906157335	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.7143532999999995	-0.18814188
NZ_CP037967.1	edge_4344	0.00470559	0	828	28	circular	2019-03-15	China: Sichuan	China,Sichuan	30.500000099999998	102.4999999		Homo sapiens	Culture	Col(pHAD28)_1, KU674895		5733	44.77585906157335	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.7149258	-0.16137995
NZ_CP045663.1	edge_4344	0.00473708	0	827	29	circular	2019-11-08	Japan	Japan	36.5748441	139.2394179	blood from patient with community-acquired emphysematous osteomyelitis	Homo sapiens	Culture	Col(pHAD28)_1, KU674895		5733	44.77585906157335	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.6714587	-0.110703535
NC_018997.1	edge_1498	0.004991	0	819	30	circular	2011-10-18								ColRNAI_1, DQ298019		7930	41.68978562421185	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2385342	0.69235617
NC_010659.1	edge_3652	0.00614558	0	784	31	circular	2008-05-07								Col156_1, NC_009781		5114	46.36292530308956	Shigella boydii CDC 3083-94	Shigella boydii (621)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-11.908821000000001	0.29273129
NZ_CP033826.1	edge_4306	0.006248	0	781	32	circular	2018-11-26	not applicable				Endotracheal aspirate	Homo sapiens				5907	50.85491789402404	Klebsiella sp. FDAARGOS_511	Klebsiella sp. FDAARGOS_511 (2488567)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.8246224	-0.10278864
NZ_LR130560.1	edge_4451	0.00645455	0	775	33	linear	2019-01-10					blood			Col(pHAD28)_1, KU674895		6850	43.985401459854025	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.8055625	0.35085502
NZ_CP041340.1	edge_1499	0.00719593	0	754	34	circular	2019-11-08	Sweden:Gothenburg	Sweden,Gothenburg	57.7072326	11.9670171	blood		Blood sample	ColRNAI_1, DQ298019		5627	47.041052070374974	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6836964	-7.946496000000001
NZ_AP019194.1	edge_4196	0.00726808	0	752	35	circular	2019-02-27	Japan:Tokyo		35.631549	139.745949				IncP6_1, JF785550		39071	58.20429474546338	Aeromonas hydrophila	Aeromonas hydrophila (644)	Aeromonas (642)	Aeromonadaceae (84642)	Aeromonadales (135624)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.82578915	-5.504578599999999
NZ_CP025004.1	edge_4308	0.00726808	0	752	36	circular	2017-12-08	China:Jiangshan,Zhejiang		28.3	118.22		Pyrus pyrifolia	genomic DNA	Col(Ye4449)_1, FJ696405		5284	46.99091597274792	Dickeya fangzhongdai	Dickeya fangzhongdai (1778540)	Dickeya (204037)	Pectobacteriaceae (1903410)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.7837214	-0.11647206
NZ_MH909348.1	edge_4196	0.00730426	0	751	37	circular	2020-06-03								IncP6_1, JF785550		42055	58.5043395553442	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.81334966	-5.4722247
MN477223.1	edge_4196	0.00730426	0	751	38	circular	2020-04-04								IncP6_1, JF785550		39013	58.19085945710403	Enterobacter cloacae	Enterobacter cloacae (550)	Enterobacter (547)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8296434000000001	-5.4943595
NZ_CP026224.1	edge_4196	0.00730426	0	751	39	circular	2018-01-31	USA		38.984652000000004	-77.094709				IncP6_1, JF785550		39148	58.191989373658934	Aeromonas sp. ASNIH3	Aeromonas sp. ASNIH3 (1636608)	Aeromonas (642)	Aeromonadaceae (84642)	Aeromonadales (135624)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8179735	-5.465493
NZ_CP028566.1	edge_4196	0.00741321	0	748	40	circular	2018-04-05	China: Sichuan, Chengdu	China,Sichuan,Chengdu	30.6765553	104.0612783	Sewage		Pure Culture	IncP6_1, JF785550		38976	58.192220853858785	Aeromonas hydrophila subsp. hydrophila	Aeromonas hydrophila (644)	Aeromonas (642)	Aeromonadaceae (84642)	Aeromonadales (135624)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.82684016	-5.4783919999999995
NZ_KU578314.1	edge_4196	0.00763299	0	742	41	circular	2020-06-03								IncP6_1, JF785550		38939	58.201289195921824	Pseudomonas aeruginosa	Pseudomonas aeruginosa (287)	Pseudomonas (286)	Pseudomonadaceae (135621)	Pseudomonadales (72274)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8201480999999999	-5.495061
NZ_MH909350.1	edge_4196	0.00781808	0	737	42	circular	2020-06-03								IncP6_1, JF785550		39014	58.15860972984058	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8170895	-5.4510684000000005
NZ_LT992437.1	edge_4196	0.00834599	0	723	43	circular	2018-03-31					wastewater			IncP6_1, JF785550		40186	57.85099288309362	Citrobacter freundii	Citrobacter freundii (546)	Citrobacter (544)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.85502946	-5.4645305
MT230424.1	edge_184	0.00865422	0	715	44	circular	2020-05-16	France	France	46.603353999999996	1.8883334999999999	river					875	52.57142857142857	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3478913000000001	-0.87155426
MT230180.1	edge_184	0.00873204	0	713	45	circular	2020-05-16	France	France	46.603353999999996	1.8883334999999999	river					824	52.18446601941748	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3520111000000001	-0.8596236999999999
NC_021922.1	edge_4451	0.00881017	0	711	46	circular	2013-08-06								Col(pHAD28)_1, KU674895		6852	44.06012842965558	Shigella flexneri	Shigella flexneri (623)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.7604312999999996	0.24099308
MN539620.1	edge_4196	0.00892796	0	708	47	circular	2020-05-16								IncP6_1, JF785550		40013	58.09361957363857	Citrobacter sp.	Citrobacter sp. (1896336)	Citrobacter (544)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.85649675	-5.5087185
NZ_CP040685.1	edge_4196	0.00896738	0	707	48	circular	2019-08-06	China	China	34.4118455	86.0326902		Homo sapiens	Bacterial cell culture	IncP6_1, JF785550		40180	58.07615729218517	Pseudomonas aeruginosa	Pseudomonas aeruginosa (287)	Pseudomonas (286)	Pseudomonadaceae (135621)	Pseudomonadales (72274)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8430754	-5.5074863
NZ_CP028175.1	edge_1499	0.00900687	0	706	49	circular	2018-04-05	Germany	Germany	51.0834196	10.4234469	turkey			ColRNAI_1, DQ298019		5572	47.07465900933238	Salmonella enterica	Salmonella enterica (28901)	Salmonella (590)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.6827741999999999	-7.949757000000001
NC_017320.1	edge_4451	0.00904645	0	705	50	circular	2012-04-18								Col(pHAD28)_1, KU674895		6850	44.029197080291965	Shigella flexneri 2002017	Shigella flexneri (623)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	3.8413336000000005	0.2869198
MT230381.1	edge_184	0.0100207	0	681	51	circular	2020-05-16	France	France	46.603353999999996	1.8883334999999999	river					821	52.131546894031665	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3266805	-0.87365174
NZ_CP032895.1	edge_4196	0.0100207	0	681	52	circular	2018-10-21	China: Sichuan, Chengdu	China,Sichuan,Chengdu	30.6765553	104.0612783		Homo sapiens	Pure Culture	IncP6_1, JF785550		43125	57.85275362318841	Enterobacter kobei	Enterobacter kobei (208224)	Enterobacter (547)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.84395164	-5.496331700000001
NZ_KX434882.1	edge_2075	0.0100623	0	680	53	circular	2020-06-03										4848	58.745874587458744	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3409251	-4.19837
NZ_CP018968.1	edge_4196	0.0106974	0	665	54	circular	2017-03-06	Viet Nam: Ho Chi Minh City		10.82	106.62		Homo sapiens		IncP6_1, JF785550|Col440I_1, CP023920		44320	56.61326714801445	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8483636999999998	-5.5592613
NZ_CP042490.1	edge_3343	0.010957099999999999	0	659	55	not-set	2019-10-13	Australia: Sydney	Australia,Sydney	-33.8548157	151.2164539	clinical sample	Homo sapiens	Whole organism	IncM2_1, AF550415		60173	52.00837584963356	Enterobacter hormaechei	Enterobacter hormaechei (158836)	Enterobacter (547)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.2095162999999998	7.7259009999999995
NZ_KR014106.1	edge_4196	0.011044400000000001	0	657	56	circular	2020-06-03								IncP6_1, JF785550		44451	58.33389575037682	Aeromonas hydrophila	Aeromonas hydrophila (644)	Aeromonas (642)	Aeromonadaceae (84642)	Aeromonadales (135624)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.8512371999999999	-5.5346400000000004
NZ_CP030268.1	edge_3365	0.011132099999999999	0	655	57	circular	2018-07-12	China	China	34.4118455	86.0326902	missing	Homo sapiens		IncFIB(pKPHS1)_1, CP003223	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	111007	48.928445953858756	Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	9.042872000000001	2.0213229999999998
CP022458.1	edge_305	0.011264299999999998	0	652	58	circular	2017-07-24	USA	USA	39.7837304	-100.4458825	missing	Homo sapiens				55820	53.491580078824796	Shigella sonnei	Shigella sonnei (624)	Shigella (620)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.6792238	-8.121446
NZ_CP018988.1	edge_4370	0.0113086	0	651	59	circular	2017-03-06	Italy: Pisa		43.72	10.4		Homo sapiens				34532	48.53758832387351	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	0.031577703	-6.0240207
MT230288.1	edge_184	0.0116661	0	643	60	circular	2020-05-16	France	France	46.603353999999996	1.8883334999999999	river					1088	50.91911764705882	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3216133999999997	-0.869022
NZ_CP026219.1	edge_4196	0.011801700000000002	0	640	61	circular	2018-02-24	USA		38.984652000000004	-77.094709						35298	58.320584735679084	Aeromonas sp. ASNIH4	Aeromonas sp. ASNIH4 (1636609)	Aeromonas (642)	Aeromonadaceae (84642)	Aeromonadales (135624)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	-0.78718346	-5.470263
NZ_LS999564.1	edge_4370	0.011801700000000002	0	640	62	circular	2019-01-29										26531	49.76819569560137	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	0.02150746	-6.028132
NZ_KR259133.1	edge_3018	0.011984	0	636	63	circular	2020-06-03										4656	61.38316151202749	Klebsiella pneumoniae	Klebsiella pneumoniae (573)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	1.3573071	-0.8521796
NZ_CP048374.1	edge_2058	0.012029799999999998	0	635	64	circular	2020-02-20	Switzerland	Switzerland	46.7985624	8.231973599999998	environment		cell culture			10494	56.34648370497427	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	0.6253588999999999	-5.6268096
NZ_CP027258.1	edge_4370	0.0121679	0	632	65	circular	2018-03-16	China:Shanghai	China,Shanghai	31.2253441	121.4888922	cow dung		enviroment sample			31467	48.412622747640384	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	0.027526386	-6.017677
NZ_LT994838.1	edge_3343	0.012446700000000002	0	626	66	circular	2018-06-30					blood			IncM2_1, AF550415		69498	52.18855218855219	Klebsiella variicola	Klebsiella variicola (244366)	Klebsiella (570)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.1065266	7.7236304
NZ_CP019011.1	edge_305	0.0124935	0	625	67	circular	2017-03-06	USA: Lafayette		30.22	-92.02		Homo sapiens		IncB/O/K/Z_1, CU928147		74891	52.77269631864977	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	2.6606631000000003	-8.141167
NZ_CP015144.1	edge_2354	0.0125405	0	624	68	linear	2016-04-10	Thailand: Bangkok		13.76	100.5	missing	Homo sapiens				4204	46.146527117031404	Escherichia coli	Escherichia coli (562)	Escherichia (561)	Enterobacteriaceae (543)	Enterobacterales (91347)	Gammaproteobacteria (1236)	Proteobacteria (1224)	Bacteria (2)	9.812646	-3.5747101000000003
