Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Candidatus Blochmannia chromaiodes str. 640","Bacteria;Proteobacteria;Gammaproteobacteria","640","SAMN02603213","PRJNA176942","GCA_000331065.1","Complete",0.791219,29.5,"chromosome:NC_020075.1/CP003903.1",,1,610,"2013-01-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/065/GCA_000331065.1_ASM33106v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/065/GCF_000331065.1_ASM33106v1"
"[Enterobacter] lignolyticus","Bacteria;Proteobacteria;Gammaproteobacteria","G5","SAMN04074888","PRJNA297567","GCA_001461805.1","Complete",4.70295,57.3,"chromosome:NZ_CP012871.1/CP012871.1",,1,4302,"2015-12-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/461/805/GCA_001461805.1_ASM146180v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/805/GCF_001461805.1_ASM146180v1"
"Enterobacteriaceae bacterium strain FGI 57","Bacteria;Proteobacteria;Gammaproteobacteria","FGI 57","SAMN02744036","PRJNA200605","GCA_000330845.1","Complete",4.76218,54,"chromosome:NC_020063.1/CP003938.1",,1,4315,"2013-01-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/845/GCA_000330845.1_ASM33084v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/845/GCF_000330845.1_ASM33084v1"
"Cronobacter sp. JZ38","Bacteria;Proteobacteria;Gammaproteobacteria","JZ38","SAMN05828177","PRJNA345401","GCA_008932145.1","Complete",4.55594,57.4102,"chromosome:NZ_CP017662.1/CP017662.1; plasmid unnamed1:NZ_CP017663.1/CP017663.1; plasmid unnamed2:NZ_CP017664.1/CP017664.1",,3,4109,"2019-10-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/932/145/GCA_008932145.1_ASM893214v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/932/145/GCF_008932145.1_ASM893214v1"
"Citrobacter braakii","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_253","SAMN04875579","PRJNA231221","GCA_002073755.2","Complete",5.24429,52,"chromosome:NZ_CP020448.2/CP020448.2",,1,4747,"2017-03-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/755/GCA_002073755.2_ASM207375v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/755/GCF_002073755.2_ASM207375v2"
"Candidatus Tachikawaea gelatinosa","Bacteria;Proteobacteria;Gammaproteobacteria","UwTKB","SAMD00013964","PRJDB1515","GCA_000828815.1","Complete",0.708439,25.1,"chromosome:NZ_AP014521.1/AP014521.1",,1,609,"2014-09-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/815/GCA_000828815.1_ASM82881v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/815/GCF_000828815.1_ASM82881v1"
"Kosakonia oryzae","Bacteria;Proteobacteria;Gammaproteobacteria","Ola 51","SAMN04419549","PRJNA309028","GCA_001658025.1","Complete",5.30334,54,"chromosome:NZ_CP014007.1/CP014007.1",,1,4830,"2016-06-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/658/025/GCA_001658025.1_ASM165802v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/658/025/GCF_001658025.1_ASM165802v1"
"Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri","Bacteria;Proteobacteria;Gammaproteobacteria","675","SAMN02808313","PRJNA249056","GCA_000973505.1","Complete",0.749321,29.1,"chromosome:NZ_CP010048.1/CP010048.1",,1,585,"2015-04-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/505/GCA_000973505.1_ASM97350v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/505/GCF_000973505.1_ASM97350v1"
"Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus","Bacteria;Proteobacteria;Gammaproteobacteria","757","SAMN02808399","PRJNA249064","GCA_000973545.1","Complete",0.77394,27.4,"chromosome:NZ_CP010049.1/CP010049.1",,1,592,"2015-04-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/545/GCA_000973545.1_ASM97354v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/545/GCF_000973545.1_ASM97354v1"
"Leclercia sp. 29361","Bacteria;Proteobacteria;Gammaproteobacteria","29361","SAMN14260760","PRJNA609883","GCA_011290365.1","Complete",4.94377,56.2,"chromosome:NZ_CP049786.1/CP049786.1",,1,4536,"2020-03-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/290/365/GCA_011290365.1_ASM1129036v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/290/365/GCF_011290365.1_ASM1129036v1"
"Candidatus Doolittlea endobia","Bacteria;Proteobacteria;Gammaproteobacteria","DEMHIR","SAMEA3725905","PRJEB12066","GCA_900039485.1","Complete",0.846562,44.1567,"chromosome I:NZ_LN999833.1/LN999833.1; plasmid II:NZ_LN999834.1/LN999834.1",,2,514,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/039/485/GCA_900039485.1_DEMHIR","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/039/485/GCF_900039485.1_DEMHIR"
"Candidatus Gullanella endobia","Bacteria;Proteobacteria;Gammaproteobacteria","GEFVIR","SAMEA3725906","PRJEB12067","GCA_900048035.1","Complete",0.938041,28.9,"chromosome I:NZ_LN999832.1/LN999832.1",,1,469,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/048/035/GCA_900048035.1_GEFVIR","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/048/035/GCF_900048035.1_GEFVIR"
"Candidatus Mikella endobia","Bacteria;Proteobacteria;Gammaproteobacteria","MEPMAR","SAMEA3725907","PRJEB12069","GCA_900048045.1","Complete",0.352837,30.6,"chromosome I:NZ_LN999831.1/LN999831.1",,1,270,"2016-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/048/045/GCA_900048045.1_MEPMAR","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/048/045/GCF_900048045.1_MEPMAR"
"secondary endosymbiont of Trabutina mannipara","Bacteria;Proteobacteria;Gammaproteobacteria","TRABTM","SAMEA3935976","PRJEB13573","GCA_900090215.1","Complete",0.298471,32.6,"chromosome I:NZ_LT594522.1/LT594522.1",,1,244,"2016-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/090/215/GCA_900090215.1_TRABTM","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/215/GCF_900090215.1_TRABTM"
"Kosakonia sp. SMBL-WEM22","Bacteria;Proteobacteria;Gammaproteobacteria","SMBL-WEM22","SAMN14560643","PRJNA623929","GCA_014490785.1","Complete",5.19496,54.894,"chromosome:CP051488.1; plasmid pwem22:CP051489.1",,2,4753,"2020-09-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/490/785/GCA_014490785.1_ASM1449078v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/490/785/GCF_014490785.1_ASM1449078v1"
"Izhakiella sp. KSNA2","Bacteria;Proteobacteria;Gammaproteobacteria","KSNA2","SAMN11650091","PRJNA542973","GCA_005671395.1","Complete",5.1828,56.1,"chromosome:NZ_CP040428.1/CP040428.1",,1,4676,"2019-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/671/395/GCA_005671395.1_ASM567139v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/671/395/GCF_005671395.1_ASM567139v1"
"Candidatus Riesia sp. GBBU","Bacteria;Proteobacteria;Gammaproteobacteria","GBBU","SAMN04088566","PRJNA295781","GCA_002074035.1","Complete",0.534351,25.0465,"chromosome:CP012849.1; plasmid unnamed:CP012848.1",,2,449,"2017-03-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/074/035/GCA_002074035.1_ASM207403v1",
"Raoultella sp. X13","Bacteria;Proteobacteria;Gammaproteobacteria","X13","SAMN09580335","PRJNA479566","GCA_003323835.1","Complete",5.44848,55.7313,"chromosome:NZ_CP030874.1/CP030874.1; plasmid unnamed:NZ_CP030875.1/CP030875.1",,2,4897,"2018-07-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/323/835/GCA_003323835.1_ASM332383v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/323/835/GCF_003323835.1_ASM332383v1"
"Lelliottia sp. WB101","Bacteria;Proteobacteria;Gammaproteobacteria","WB101","SAMN08822631","PRJNA448142","GCA_003051885.1","Complete",4.73407,54.885,"chromosome:NZ_CP028520.1/CP028520.1; plasmid unnamed1:NZ_CP028521.1/CP028521.1",,2,4232,"2018-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/051/885/GCA_003051885.1_ASM305188v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/051/885/GCF_003051885.1_ASM305188v1"
"Gibbsiella quercinecans","Bacteria;Proteobacteria;Gammaproteobacteria","FRB97","SAMN04388492","PRJNA308223","GCA_002291425.1","Complete",5.54851,55.9,"chromosome:NZ_CP014136.1/CP014136.1",,1,4817,"2017-09-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/291/425/GCA_002291425.1_ASM229142v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/291/425/GCF_002291425.1_ASM229142v1"
"Buttiauxella sp. 3AFRM03","Bacteria;Proteobacteria;Gammaproteobacteria","3AFRM03","SAMN10216266","PRJNA495034","GCA_003675305.1","Complete",5.49836,50.4209,"chromosome:NZ_CP033076.1/CP033076.1; plasmid pBTX_120:NZ_CP033074.1/CP033074.1; plasmid pBTX_57:NZ_CP033075.1/CP033075.1",,3,4979,"2018-10-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/675/305/GCA_003675305.1_ASM367530v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/675/305/GCF_003675305.1_ASM367530v1"
"Enterobacter cloacae complex sp.","Bacteria;Proteobacteria;Gammaproteobacteria","FDAARGOS_77","SAMN02934530","PRJNA231221","GCA_000783675.2","Complete",4.877,55.6,"chromosome:NZ_CP026975.1/CP026975.1",,1,4532,"2018-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/675/GCA_000783675.2_ASM78367v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/675/GCF_000783675.2_ASM78367v2"
"Enterobacteriaceae bacterium ENNIH1","Bacteria;Proteobacteria;Gammaproteobacteria","ENNIH1","SAMN06040390","PRJNA430813","GCA_002903065.1","Complete",5.66633,52.7207,"chromosome:NZ_CP026193.1/CP026193.1; plasmid pENT-1f0b:NZ_CP026196.1/CP026196.1; plasmid pENT-82e8:NZ_CP026195.1/CP026195.1; plasmid pKPC-825d:NZ_CP026194.1/CP026194.1",,4,5198,"2018-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/903/065/GCA_002903065.1_ASM290306v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/903/065/GCF_002903065.1_ASM290306v1"
"Enterobacteriaceae bacterium ENNIH3","Bacteria;Proteobacteria;Gammaproteobacteria","ENNIH3","SAMN06040429","PRJNA430813","GCA_002903085.1","Complete",6.07913,52.8828,"chromosome:NZ_CP026197.1/CP026197.1; plasmid pKPC-c606:NZ_CP026198.1/CP026198.1",,2,5690,"2018-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/903/085/GCA_002903085.1_ASM290308v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/903/085/GCF_002903085.1_ASM290308v1"
"Lelliottia jeotgali","Bacteria;Proteobacteria;Gammaproteobacteria","PFL01","SAMN05891786","PRJNA347521","GCA_002271215.1","Complete",4.60333,54.2,"chromosome:NZ_CP018628.1/CP018628.1",,1,4210,"2017-08-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/271/215/GCA_002271215.1_ASM227121v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/271/215/GCF_002271215.1_ASM227121v1"
"Enterobacteriaceae bacterium S05","Bacteria;Proteobacteria;Gammaproteobacteria","S05","SAMN07982887","PRJNA417339","GCA_003063705.1","Complete",5.15705,58,"chromosome:NZ_CP024784.1/CP024784.1",,1,4669,"2018-04-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/705/GCA_003063705.1_ASM306370v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/063/705/GCF_003063705.1_ASM306370v1"
"Phytobacter sp. SCO41","Bacteria;Proteobacteria;Gammaproteobacteria","SCO41","SAMN08605481","PRJNA435851","GCA_003073275.1","Complete",5.59933,53.1,"chromosome:NZ_CP027225.1/CP027225.1",,1,5148,"2018-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/275/GCA_003073275.1_ASM307327v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/275/GCF_003073275.1_ASM307327v1"
"Limnobaculum parvum","Bacteria;Proteobacteria;Gammaproteobacteria","HYN0051","SAMN08969739","PRJNA451400","GCA_003096015.2","Complete",3.84177,46,"chromosome:NZ_CP029185.2/CP029185.2",,1,3079,"2018-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/015/GCA_003096015.2_ASM309601v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/015/GCF_003096015.2_ASM309601v2"
"Leclercia sp. W17","Bacteria;Proteobacteria;Gammaproteobacteria","w17","SAMN09667311","PRJNA478624","GCA_003336325.1","Complete",5.12564,55.5334,"chromosome:NZ_CP031101.1/CP031101.1; plasmid pW17-1:NZ_CP031102.1/CP031102.1; plasmid pW17-2:NZ_CP031103.1/CP031103.1",,3,4701,"2018-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/325/GCA_003336325.1_ASM333632v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/336/325/GCF_003336325.1_ASM333632v1"
"Leclercia sp. W6","Bacteria;Proteobacteria;Gammaproteobacteria","W6","SAMN09667310","PRJNA478624","GCA_003336345.1","Complete",4.94549,55.9,"chromosome:NZ_CP031104.1/CP031104.1",,1,4545,"2018-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/345/GCA_003336345.1_ASM333634v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/336/345/GCF_003336345.1_ASM333634v1"
"Candidatus Purcelliella pentastirinorum","Bacteria;Proteobacteria;Gammaproteobacteria","OLIH","SAMN08744566","PRJNA439325","GCA_003391335.1","Complete",0.479855,21.2,"chromosome:NZ_CP028374.1/CP028374.1",,1,430,"2018-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/391/335/GCA_003391335.1_ASM339133v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/391/335/GCF_003391335.1_ASM339133v1"
"Enterobacteriaceae bacterium bta3-1","Bacteria;Proteobacteria;Gammaproteobacteria","bta3-1","SAMN03379850","PRJNA182589","GCA_003530165.1","Complete",4.76906,48.2959,"chromosome:CP004083.1; CP004084.1",,1,4281,"2015-03-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/530/165/GCA_003530165.1_ASM353016v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/530/165/GCF_003530165.1_ASM353016v1"
"Metakosakonia sp. MRY16-398","Bacteria;Proteobacteria;Gammaproteobacteria","MRY16-398","SAMD00127373","PRJDB7098","GCA_003925915.1","Complete",6.19113,53.083,"chromosome:NZ_AP018756.1/AP018756.1; plasmid pMRY16-398_1:NZ_AP018757.1/AP018757.1; plasmid pMRY16-398_2:NZ_AP018758.1/AP018758.1",,3,5764,"2018-07-25T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/925/915/GCA_003925915.1_ASM392591v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/925/915/GCF_003925915.1_ASM392591v1"
"Scandinavium goeteborgense","Bacteria;Proteobacteria;Gammaproteobacteria","CCUG 66741","SAMN05150228","PRJNA305687","GCA_003935895.2","Complete",4.71396,54.3183,"chromosome:NZ_CP054058.1/CP054058.1; plasmid pSg66741_1:NZ_CP054057.1/CP054057.1",,2,4345,"2020-05-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/935/895/GCA_003935895.2_ASM393589v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/935/895/GCF_003935895.2_ASM393589v2"
"Phytobacter diazotrophicus","Bacteria;Proteobacteria;Gammaproteobacteria","UAEU22","SAMN14593742","PRJNA625126","GCA_012923785.1","Complete",5.52724,53.2392,"chromosome:NZ_CP051548.1/CP051548.1; plasmid unnamed1:NZ_CP051549.1/CP051549.1",,2,5053,"2020-04-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/923/785/GCA_012923785.1_ASM1292378v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/923/785/GCF_012923785.1_ASM1292378v1"
"Candidatus Stammera capleta","Bacteria;Proteobacteria;Gammaproteobacteria","NZ1215","SAMN07758087","PRJNA413589","GCA_002688505.1","Complete",0.271175,15.4,"chromosome:CP024013.1",,1,0,"2017-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/688/505/GCA_002688505.1_ASM268850v1",
